60;Kebakaran;60;Lorong Proyek Lingkungan III Bagan Deli;2024-02-07;16:30:35;
61;Kebakaran;61;Lorong Proyek Lingkungan III Bagan Deli;2024-02-07;16:30:35;
62;Kebakaran;62;Lorong Proyek Lingkungan III Bagan Deli;2024-02-07;16:30:35;
63;Kebakaran;63;Lorong Proyek Lingkungan III Bagan Deli;2024-02-07;16:30:35;
64;Kebakaran;64;Lorong Proyek Lingkungan III Bagan Deli;2024-02-07;16:30:35;
65;Kebakaran;65;Lorong Proyek Lingkungan III Bagan Deli;2024-02-07;16:30:35;
66;Kebakaran;66;Lorong Proyek Lingkungan III Bagan Deli;2024-02-07;16:30:35;
67;Kebakaran;67;Jl. Bromo Gang Setia Baru II Lingkungan IV;2024-01-08;13:55:42;
68;Kebakaran;68;Jl. Bromo Gang Setia Baru II Lingkungan IV;2024-01-08;13:55:42;
69;Kebakaran;69;Jl. Bromo Gang Setia Baru II Lingkungan IV;2024-01-08;13:55:42;
70;Kebakaran;70;Jl. Bromo Gang Setia Baru II Lingkungan IV;2024-01-08;13:55:42;
71;Kebakaran;71;Jl. Bromo Gang Setia Baru II Lingkungan IV;2024-01-08;13:55:42;
72;Kebakaran;72;Jl. Bromo Gang Setia Baru II Lingkungan IV;2024-01-08;13:55:42;
